,Address,Lot_Size,Price,Unit,latitude,longitude
2286,"43 Panther Meadow Dr, McCloud, CA 96057",0.25,78705.0,acres lot,41.2499,-122.14328138888
2287,"76 Mill House Way, McCloud, CA 96057",0.27,77115.0,acres lot,41.2614,-122.12241
2288,"760 Endert St, Crescent City, CA 95531",0.15899908172635446,74200.0,sqft lot,41.746,-124.15191
2289,"121700 Highway 101 None, Orick, CA 95555",2.02,74000.0,acres lot,41.2963,-124.05420
2290,"823 Northview Dr, Yreka, CA 96097",0.34,69900.0,acres lot,41.7434,-122.64321
2291,"1110 Discovery St, Yreka, CA 96097",0.29,69900.0,acres lot,41.743,-122.64369
2292,"Unimproved Land Oak Knl, Klamath River, CA 96050",40.0,69500.0,acres lot,41.8612,-122.82558
2293,"183 & 201 Lower Lake View Dr, Trinity Center, CA 96091",0.68,69000.0,acres lot,41.013,-122.7270
2294,"Middle Creek Rd, Klamath River, CA 96050",80.0,67000.0,acres lot,41.890,-123.0451
2295,"1820 Moore Gulch Rd, Trinity Center, CA 96091",10.0,65000.0,acres lot,40.889,-122.723
2296,"805 Lane St, Yreka, CA 96097",1.6,65000.0,acres lot,41.73,-122.6471
2297,"1505 Blackwell Ln, Crescent City, CA 95531",1.0,65000.0,acres lot,41.7870,-124.17763
2298,"Unimproved Land, Klamath River, CA 96050",6.7,62500.0,acres lot,41.8612,-122.82558
2300,"Xx South St #4, Yreka, CA 96097",8.0,62000.0,acres lot,41.72,-122.644
2301,"840 Northview Dr, Yreka, CA 96097",0.54,60000.0,acres lot,41.742,-122.6437
2302,"Scareface Rd, Gazelle, CA 96034",40.0,59000.0,acres lot,41.565,-122.6892
2303,"0 Sleepy Hollow Rd, Crescent City, CA 95531",1.0,55000.0,acres lot,41.784,-124.1606
2304,"0 Montague Rd, Yreka, CA 96097",1.3,55000.0,acres lot,41.7402,-122.63295
2305,"1605 Tsunami Ln, Crescent City, CA 95531",1.0,54400.0,acres lot,41.776,-124.16671
2306,"Campbell Ave, Yreka, CA 96097",3.3,54000.0,acres lot,41.712,-122.6199
2307,"0 S Kraft Dr, Crescent City, CA 95531",0.73,49900.0,acres lot,41.815,-124.139032
2308,"37 Lowell St, Orick, CA 95555",0.15,49500.0,sqft lot,41.2870,-124.06027
2309,"704 North St, Yreka, CA 96097",0.38,49000.0,acres lot,41.734,-122.6434
2310,"2740 Peveler Ave, Crescent City, CA 95531",0.16999540863177226,45000.0,sqft lot,41.7464,-124.14795
2311,"137 Azalea Dr, Klamath, CA 95548",0.15,45000.0,sqft lot,41.5730,-124.069
2312,"LOT 11 Shasta Ave, Yreka, CA 96097",7.1,43000.0,acres lot,41.71,-122.6383
2313,"Indian Creek Rd, Fort Jones, CA 96032",20.0,39500.0,acres lot,41.667,-122.8516
2314,"115 Cowley Ln, Crescent City, CA 95531",0.34,39250.0,acres lot,41.7647,-124.1596
