,Unnamed: 0,Address,Lot_Size,Price,Unit,State,Country,latitude,longitude,lat,long
282,285,"USA,California,15120 Acacia Way, Pine Mountain Club, CA 93222",0.2417814508723599,47000.0,sqft lot,California,USA,34.839,-119.1454,34.8393959,-119.1454998
283,286,"USA,California,720 Philippine St, Taft, CA 93268",0.2100780532598714,45000.0,sqft lot,California,USA,35.13,-119.4775,35.1352978,-119.4775759
284,287,"USA,California,14200 Yellowstone Dr, Frazier Park, CA 93225",0.63,21695.0,acres lot,California,USA,34.8227,-118.94482,34.850214,-119.130127
285,288,"USA,California,2236 Saint Bernard Dr, Pine Mountain Club, CA 93222",0.35,21695.0,acres lot,California,USA,34.849,-119.1523,34.849056,-119.152366
286,289,"USA,California,1800 Matterhorn Dr, Pine Mountain Club, CA 93222",0.4,20000.0,acres lot,California,USA,34.84,-119.1593,34.840305,-119.159379
287,290,"USA,California,290-292 Rosario Park Rd, Santa Barbara, CA 93105",0.85,449000.0,acres lot,California,USA,34.516,-119.8321,34.51603,-119.831723
288,291,"USA,California,0 Perkins Rd, New Cuyama, CA 93254",100.99,430000.0,acres lot,California,USA,34.928,-119.6845,34.9414544,-119.6924088
289,292,"USA,California,0 Wildlife Rd, Frazier Park, CA 93225",25.0,265000.0,acres lot,California,USA,34.74517,-119.102947,34.8227556,-118.9448219
290,293,"USA,California,0 Chino Larson Rd, Frazier Park, CA 93225",35.0,175000.0,acres lot,California,USA,34.8227,-118.94482,34.8227556,-118.9448219
291,294,"USA,California,2045 Woodland Dr, Pine Mountain Club, CA 93222",0.2322543617998163,45000.0,sqft lot,California,USA,34.844,-119.1518,34.8446558,-119.1520002
292,295,"USA,California,1813 Freeman Dr, Pine Mountain Club, CA 93222",0.3,39999.0,acres lot,California,USA,34.841,-119.162,34.84108,-119.162186
293,296,"USA,California,1621 Zermatt Dr, Pine Mountain Club, CA 93222",0.38,39900.0,acres lot,California,USA,34.834,-119.1509,34.8380795,-119.1544565
294,297,"USA,California,0 E Avenue R, Littlerock, CA 93543",40.22,999900.0,acres lot,California,USA,34.5211,-117.98367,34.5726081,-117.9302303
295,298,"USA,California,Tierra Subida Ave #Q8, Palmdale, CA 93551",35.0,999000.0,acres lot,California,USA,34.553,-118.1419,34.55619,-118.1412375
